plan_id	machine	grid_instruction	scene_idx	jitter_idx	noise_idx	armsig	kind	sig	pkl_sha256	model	version	ckpt	task	task_id	instruction	env_name	env_seed	inference_seed	episode_idx	success	steps	n_inferences	n_action_steps	chunk_len	has_pkl	jitter_reset_idx	base_lat	base_back	layout_id	style_id	side	lang	legacy	capture_token_mode	feature_kind	feature_axes	record_shape	capture_layers	plan_name	machine_source	ckpt_source	meta_source	rel_path
375e3c46c962	kanu	CoffeeSetupMug	0	2	0	base	activation	1b0703337c044d64	1b0703337c044d648c75b46b8ec5602880c90dac1faeb626ef1c480e04fc0b26	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Pick the mug from the counter and place it under the coffee machine dispenser.	robocasa_panda_omron/CoffeeSetupMug_PandaOmron_Env	100124	1300000	0	0			5		1	2	0.0	0.0	4	4		Pick the mug from the counter and place it under the coffee machine dispenser.	0	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	["layer","denoise_step","model_token","feature_dim"]	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_grid_v6_scene_jitter	grid_coord	meta	meta_json	375e3c46c962/kanu/CoffeeSetupMug/s0/j2/n0/base
375e3c46c962	kanu	CoffeeSetupMug	0	2	1	base	activation	ae575684a42ff435	ae575684a42ff4353fa8c2ae719ac23aa51e82055bb110bb1c7ed6a3b33eb8fc	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Pick the mug from the counter and place it under the coffee machine dispenser.	robocasa_panda_omron/CoffeeSetupMug_PandaOmron_Env	100124	1300001	0	0			5		1	2	0.0	0.0	4	4		Pick the mug from the counter and place it under the coffee machine dispenser.	0	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	["layer","denoise_step","model_token","feature_dim"]	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_grid_v6_scene_jitter	grid_coord	meta	meta_json	375e3c46c962/kanu/CoffeeSetupMug/s0/j2/n1/base
375e3c46c962	kanu	CoffeeSetupMug	0	2	2	base	activation	5af5a6b3fd140c41	5af5a6b3fd140c41368f9c8d08d925b00756921a72b90a363d2d09054f652e61	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Pick the mug from the counter and place it under the coffee machine dispenser.	robocasa_panda_omron/CoffeeSetupMug_PandaOmron_Env	100124	1300002	0	0			5		1	2	0.0	0.0	4	4		Pick the mug from the counter and place it under the coffee machine dispenser.	0	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	["layer","denoise_step","model_token","feature_dim"]	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_grid_v6_scene_jitter	grid_coord	meta	meta_json	375e3c46c962/kanu/CoffeeSetupMug/s0/j2/n2/base
375e3c46c962	kanu	CoffeeSetupMug	0	2	3	base	activation	a5d188728ef83848	a5d188728ef83848a6036d1a5cbceaa80fbed279df2f36e6d4f6d5a3f08a8468	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Pick the mug from the counter and place it under the coffee machine dispenser.	robocasa_panda_omron/CoffeeSetupMug_PandaOmron_Env	100124	1300003	0	0			5		1	2	0.0	0.0	4	4		Pick the mug from the counter and place it under the coffee machine dispenser.	0	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	["layer","denoise_step","model_token","feature_dim"]	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_grid_v6_scene_jitter	grid_coord	meta	meta_json	375e3c46c962/kanu/CoffeeSetupMug/s0/j2/n3/base
375e3c46c962	kanu	CoffeeSetupMug	0	2	4	base	activation	13cfd9e2ed63129a	13cfd9e2ed63129a6c5aa82d82a332dce6fe8920aa7ce6423b7efa1f658fe59a	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Pick the mug from the counter and place it under the coffee machine dispenser.	robocasa_panda_omron/CoffeeSetupMug_PandaOmron_Env	100124	1300004	0	0			5		1	2	0.0	0.0	4	4		Pick the mug from the counter and place it under the coffee machine dispenser.	0	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	["layer","denoise_step","model_token","feature_dim"]	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_grid_v6_scene_jitter	grid_coord	meta	meta_json	375e3c46c962/kanu/CoffeeSetupMug/s0/j2/n4/base
375e3c46c962	kanu	CoffeeSetupMug	0	3	0	base	activation	3bb7233639a0e010	3bb7233639a0e01010b0084588166b35179d4793fe957cf1fa97a8fe24cfe0a4	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Pick the mug from the counter and place it under the coffee machine dispenser.	robocasa_panda_omron/CoffeeSetupMug_PandaOmron_Env	100124	1300000	0	0			5		1	3	0.0	0.0	4	4		Pick the mug from the counter and place it under the coffee machine dispenser.	0	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	["layer","denoise_step","model_token","feature_dim"]	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_grid_v6_scene_jitter	grid_coord	meta	meta_json	375e3c46c962/kanu/CoffeeSetupMug/s0/j3/n0/base
375e3c46c962	kanu	CoffeeSetupMug	0	3	1	base	activation	b2f08c1427354e48	b2f08c1427354e4845be91da9c7b2d8868ed0368e74fb670d449dc7bc9d1684a	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Pick the mug from the counter and place it under the coffee machine dispenser.	robocasa_panda_omron/CoffeeSetupMug_PandaOmron_Env	100124	1300001	0	0			5		1	3	0.0	0.0	4	4		Pick the mug from the counter and place it under the coffee machine dispenser.	0	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	["layer","denoise_step","model_token","feature_dim"]	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_grid_v6_scene_jitter	grid_coord	meta	meta_json	375e3c46c962/kanu/CoffeeSetupMug/s0/j3/n1/base
375e3c46c962	kanu	CoffeeSetupMug	0	3	2	base	activation	4a5f157a1f95bd04	4a5f157a1f95bd0460d24c6a2786ff7c93f269f21d61778cbe8eb44ff6153c16	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Pick the mug from the counter and place it under the coffee machine dispenser.	robocasa_panda_omron/CoffeeSetupMug_PandaOmron_Env	100124	1300002	0	0			5		1	3	0.0	0.0	4	4		Pick the mug from the counter and place it under the coffee machine dispenser.	0	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	["layer","denoise_step","model_token","feature_dim"]	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_grid_v6_scene_jitter	grid_coord	meta	meta_json	375e3c46c962/kanu/CoffeeSetupMug/s0/j3/n2/base
375e3c46c962	kanu	CoffeeSetupMug	0	3	3	base	activation	e2e041343a0b2f22	e2e041343a0b2f223af48fc18ef0c78e17a47c2a2546f93ba497b8483eb46aa4	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Pick the mug from the counter and place it under the coffee machine dispenser.	robocasa_panda_omron/CoffeeSetupMug_PandaOmron_Env	100124	1300003	0	0			5		1	3	0.0	0.0	4	4		Pick the mug from the counter and place it under the coffee machine dispenser.	0	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	["layer","denoise_step","model_token","feature_dim"]	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_grid_v6_scene_jitter	grid_coord	meta	meta_json	375e3c46c962/kanu/CoffeeSetupMug/s0/j3/n3/base
375e3c46c962	kanu	CoffeeSetupMug	0	3	4	base	activation	fbbc8cd69b9deb9c	fbbc8cd69b9deb9cc3b1a6098bdcd2c60400543b7215149add9facc143cb7f35	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Pick the mug from the counter and place it under the coffee machine dispenser.	robocasa_panda_omron/CoffeeSetupMug_PandaOmron_Env	100124	1300004	0	0			5		1	3	0.0	0.0	4	4		Pick the mug from the counter and place it under the coffee machine dispenser.	0	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	["layer","denoise_step","model_token","feature_dim"]	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_grid_v6_scene_jitter	grid_coord	meta	meta_json	375e3c46c962/kanu/CoffeeSetupMug/s0/j3/n4/base
