rel_path	success	n_rec	vl_const_onset	flag
kanu/OpenDrawer/left/s2/j1/n0/base	0	144		OK
kanu/OpenDrawer/left/s2/j1/n1/base	1	40		OK
kanu/OpenDrawer/left/s2/j2/n1/base	1	34		OK
kanu/OpenDrawer/left/s2/j2/n2/base	1	41		OK
kanu/OpenDrawer/left/s2/j3/n2/base	1	37		OK
kanu/OpenDrawer/left/s2/j3/n3/base	1	38		OK
kanu/OpenDrawer/left/s2/j3/n0/base	1	41		OK
kanu/OpenDrawer/left/s2/j3/n1/base	1	39		OK
kanu/OpenDrawer/left/s2/j3/n4/base	1	37		OK
kanu/OpenDrawer/left/s2/j4/n0/base	1	37		OK
kanu/OpenDrawer/left/s2/j4/n1/base	1	37		OK
kanu/OpenDrawer/left/s2/j4/n2/base	1	35		OK
kanu/OpenDrawer/left/s2/j1/n2/base	0	144		OK
kanu/OpenDrawer/left/s2/j1/n3/base	0	144		OK
kanu/OpenDrawer/left/s2/j4/n3/base	1	37		OK
kanu/OpenDrawer/left/s2/j4/n4/base	1	36		OK
kanu/OpenDrawer/right/s0/j0/n0/base	1	58		OK
kanu/OpenDrawer/right/s0/j0/n1/base	1	50		OK
kanu/OpenDrawer/right/s0/j0/n2/base	1	49		OK
kanu/OpenDrawer/right/s0/j0/n3/base	1	83		OK
kanu/OpenDrawer/right/s0/j1/n1/base	1	47		OK
kanu/OpenDrawer/right/s0/j1/n2/base	1	54		OK
kanu/OpenDrawer/right/s0/j0/n4/base	1	79		OK
kanu/OpenDrawer/right/s0/j1/n0/base	1	48		OK
kanu/OpenDrawer/right/s0/j1/n3/base	1	50		OK
kanu/OpenDrawer/right/s0/j1/n4/base	1	53		OK
kanu/OpenDrawer/right/s0/j2/n2/base	1	41		OK
kanu/OpenDrawer/right/s0/j2/n3/base	1	40		OK
kanu/OpenDrawer/right/s0/j2/n0/base	1	44		OK
kanu/OpenDrawer/right/s0/j2/n1/base	1	42		OK
kanu/OpenDrawer/right/s0/j2/n4/base	1	39		OK
kanu/OpenDrawer/right/s0/j3/n0/base	0	144		OK
kanu/OpenDrawer/right/s0/j4/n0/base	1	61		OK
kanu/OpenDrawer/right/s0/j4/n1/base	1	57		OK
kanu/OpenDrawer/right/s0/j3/n3/base	1	44		OK
kanu/OpenDrawer/right/s0/j3/n4/base	0	144		OK
kanu/OpenDrawer/right/s0/j3/n1/base	1	123		OK
kanu/OpenDrawer/right/s0/j3/n2/base	1	51		OK
kanu/OpenDrawer/right/s0/j4/n2/base	1	57		OK
kanu/OpenDrawer/right/s0/j4/n3/base	1	54		OK
kanu/OpenDrawer/right/s1/j0/n3/base	1	43		OK
kanu/OpenDrawer/right/s1/j0/n4/base	1	43		OK
kanu/OpenDrawer/right/s1/j0/n1/base	1	81		OK
kanu/OpenDrawer/right/s1/j0/n2/base	1	51		OK
kanu/OpenDrawer/right/s0/j4/n4/base	1	53		OK
kanu/OpenDrawer/right/s1/j0/n0/base	0	144		OK
kanu/OpenDrawer/right/s1/j1/n0/base	0	144		OK
kanu/OpenDrawer/right/s1/j1/n1/base	0	144		OK
kanu/OpenDrawer/right/s1/j1/n2/base	0	144		OK
kanu/OpenDrawer/right/s1/j1/n3/base	0	144		OK
kanu/OpenDrawer/right/s1/j1/n4/base	0	144		OK
kanu/OpenDrawer/right/s1/j2/n0/base	0	144		OK
kanu/OpenDrawer/right/s1/j2/n1/base	0	144		OK
kanu/OpenDrawer/right/s1/j2/n2/base	0	144		OK
kanu/OpenDrawer/right/s1/j2/n3/base	0	144		OK
kanu/OpenDrawer/right/s1/j2/n4/base	0	144		OK
kanu/OpenDrawer/right/s1/j3/n2/base	0	144		OK
kanu/OpenDrawer/right/s1/j3/n3/base	0	144		OK
kanu/OpenDrawer/right/s1/j3/n4/base	0	144		OK
kanu/OpenDrawer/right/s1/j4/n0/base	0	144		OK
kanu/OpenDrawer/right/s1/j3/n0/base	0	144		OK
kanu/OpenDrawer/right/s1/j3/n1/base	0	144		OK
kanu/OpenDrawer/right/s2/j0/n2/base	1	42		OK
kanu/OpenDrawer/right/s2/j0/n3/base	1	42		OK
kanu/OpenDrawer/right/s2/j0/n0/base	1	44		OK
kanu/OpenDrawer/right/s2/j0/n1/base	1	43		OK
kanu/OpenDrawer/right/s1/j4/n1/base	0	144		OK
kanu/OpenDrawer/right/s1/j4/n2/base	1	53		OK
kanu/OpenDrawer/right/s1/j4/n3/base	0	144		OK
kanu/OpenDrawer/right/s1/j4/n4/base	1	43		OK
kanu/OpenDrawer/right/s2/j1/n3/base	1	48		OK
kanu/OpenDrawer/right/s2/j1/n4/base	1	51		OK
kanu/OpenDrawer/right/s2/j1/n1/base	1	54		OK
