plan_id	machine	grid_instruction	scene_idx	jitter_idx	noise_idx	jitter_reset_idx	base_lat	base_back	env_seed	inference_seed	sig	success	rel_path
77e745c37b0f	kanu	OpenDrawer/left	0	3	3	4	0.0	0.05	100245	1300003	3bc7c83f7532a02b	0	77e745c37b0f/kanu/OpenDrawer/left/s0/j3/n3/base
77e745c37b0f	kanu	OpenDrawer/left	0	3	4	4	0.0	0.05	100245	1300004	6fd9aa3a7812999b	0	77e745c37b0f/kanu/OpenDrawer/left/s0/j3/n4/base
77e745c37b0f	kanu	OpenDrawer/left	0	3	5	4	0.0	0.05	100245	1300005	3aa6eefc343eef82	1	77e745c37b0f/kanu/OpenDrawer/left/s0/j3/n5/base
77e745c37b0f	kanu	OpenDrawer/left	0	3	6	4	0.0	0.05	100245	1300006	91924f67c029679b	1	77e745c37b0f/kanu/OpenDrawer/left/s0/j3/n6/base
77e745c37b0f	kanu	OpenDrawer/left	0	3	7	4	0.0	0.05	100245	1300007	d6b7a0e0b3046155	1	77e745c37b0f/kanu/OpenDrawer/left/s0/j3/n7/base
77e745c37b0f	kanu	OpenDrawer/left	0	3	8	4	0.0	0.05	100245	1300008	75256d911f19d88c	1	77e745c37b0f/kanu/OpenDrawer/left/s0/j3/n8/base
77e745c37b0f	kanu	OpenDrawer/left	0	3	9	4	0.0	0.05	100245	1300009	2c4cea8177b53f60	0	77e745c37b0f/kanu/OpenDrawer/left/s0/j3/n9/base
77e745c37b0f	kanu	OpenDrawer/left	0	4	0	8	0.0	0.1	100245	1300000	649be897c44de67b	1	77e745c37b0f/kanu/OpenDrawer/left/s0/j4/n0/base
77e745c37b0f	kanu	OpenDrawer/left	0	4	1	8	0.0	0.1	100245	1300001	de95a63e2198bd41	1	77e745c37b0f/kanu/OpenDrawer/left/s0/j4/n1/base
77e745c37b0f	kanu	OpenDrawer/left	0	4	2	8	0.0	0.1	100245	1300002	d58a27546172e60a	1	77e745c37b0f/kanu/OpenDrawer/left/s0/j4/n2/base
77e745c37b0f	kanu	OpenDrawer/left	0	4	3	8	0.0	0.1	100245	1300003	c8f6066f07c4ac5a	1	77e745c37b0f/kanu/OpenDrawer/left/s0/j4/n3/base
77e745c37b0f	kanu	OpenDrawer/left	0	4	4	8	0.0	0.1	100245	1300004	6ef6963e573be87c	1	77e745c37b0f/kanu/OpenDrawer/left/s0/j4/n4/base
77e745c37b0f	kanu	OpenDrawer/left	0	4	5	8	0.0	0.1	100245	1300005	c132a8c378bc7dfa	1	77e745c37b0f/kanu/OpenDrawer/left/s0/j4/n5/base
77e745c37b0f	kanu	OpenDrawer/left	0	4	6	8	0.0	0.1	100245	1300006	8c22e9e784b7e34d	1	77e745c37b0f/kanu/OpenDrawer/left/s0/j4/n6/base
77e745c37b0f	kanu	OpenDrawer/left	0	4	7	8	0.0	0.1	100245	1300007	617c52980c169025	1	77e745c37b0f/kanu/OpenDrawer/left/s0/j4/n7/base
77e745c37b0f	kanu	OpenDrawer/left	0	4	8	8	0.0	0.1	100245	1300008	592cc0fd89be6900	1	77e745c37b0f/kanu/OpenDrawer/left/s0/j4/n8/base
77e745c37b0f	kanu	OpenDrawer/left	0	4	9	8	0.0	0.1	100245	1300009	298b04c8f795a1d4	1	77e745c37b0f/kanu/OpenDrawer/left/s0/j4/n9/base
77e745c37b0f	worker1	OvenRack/out-left	1	0	0	0	0.0	0.0	100754	1300000	2343f12e55ba5836	0	77e745c37b0f/worker1/OvenRack/out-left/s1/j0/n0/base
77e745c37b0f	worker1	OvenRack/out-left	1	0	1	0	0.0	0.0	100754	1300001	7d3b5da8a66d0028	0	77e745c37b0f/worker1/OvenRack/out-left/s1/j0/n1/base
77e745c37b0f	worker1	OvenRack/out-left	1	0	2	0	0.0	0.0	100754	1300002	3256a25f02712817	0	77e745c37b0f/worker1/OvenRack/out-left/s1/j0/n2/base
77e745c37b0f	worker1	OvenRack/out-left	1	0	3	0	0.0	0.0	100754	1300003	2ea55d298aad66c3	0	77e745c37b0f/worker1/OvenRack/out-left/s1/j0/n3/base
77e745c37b0f	worker1	OvenRack/out-left	1	0	4	0	0.0	0.0	100754	1300004	db3e87ba8127b919	0	77e745c37b0f/worker1/OvenRack/out-left/s1/j0/n4/base
77e745c37b0f	worker1	OvenRack/out-left	1	0	5	0	0.0	0.0	100754	1300005	0fddbf5e3128f4ff	0	77e745c37b0f/worker1/OvenRack/out-left/s1/j0/n5/base
77e745c37b0f	worker1	OvenRack/out-left	1	0	6	0	0.0	0.0	100754	1300006	0ca718ef9ed8ba0c	1	77e745c37b0f/worker1/OvenRack/out-left/s1/j0/n6/base
77e745c37b0f	worker1	OvenRack/out-left	1	0	7	0	0.0	0.0	100754	1300007	42f8e26eac76b0ea	1	77e745c37b0f/worker1/OvenRack/out-left/s1/j0/n7/base
77e745c37b0f	worker1	OvenRack/out-left	1	0	8	0	0.0	0.0	100754	1300008	508fdd36156d6730	0	77e745c37b0f/worker1/OvenRack/out-left/s1/j0/n8/base
77e745c37b0f	worker1	OvenRack/out-left	1	0	9	0	0.0	0.0	100754	1300009	667899efa2968aaa	1	77e745c37b0f/worker1/OvenRack/out-left/s1/j0/n9/base
77e745c37b0f	worker1	OvenRack/out-left	1	1	0	0	0.0	0.05	100754	1300000	08f44518ed79ddda	1	77e745c37b0f/worker1/OvenRack/out-left/s1/j1/n0/base
77e745c37b0f	worker1	OvenRack/out-left	1	1	1	0	0.0	0.05	100754	1300001	2fd602fd9ce1aace	0	77e745c37b0f/worker1/OvenRack/out-left/s1/j1/n1/base
