plan_id	machine	grid_instruction	scene_idx	noise_idx	armsig	kind	sig	pkl_sha256	model	version	ckpt	task	task_id	instruction	env_name	env_seed	inference_seed	episode_idx	success	steps	n_inferences	n_action_steps	chunk_len	has_pkl	capture_token_mode	feature_kind	feature_axes	record_shape	capture_layers	plan_name	machine_source	ckpt_source	meta_source	rel_path	cell_si	jitter_reset_idx
46ea62d53e09	kanu	OpenDrawer/left	1	0	base	activation	33e3fcb86742f7a1	33e3fcb86742f7a14c970688c559d3683942c3eab1313ee09646de3c56ec71f7	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Open the left drawer.	robocasa_panda_omron/OpenDrawer_PandaOmron_Env	100002	1300000	0	0			5		1	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	"[""layer"",""denoise_step"",""model_token"",""feature_dim""]"	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_grid_v4_jitter	grid_coord	meta	meta_json	46ea62d53e09/kanu/OpenDrawer/left/s103/n0/base	103	3
46ea62d53e09	kanu	OpenDrawer/left	1	1	base	activation	b875a52069c9500f	b875a52069c9500f00d9daf7dec77f960555d742ec30a48c864be20c5c2f0186	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Open the left drawer.	robocasa_panda_omron/OpenDrawer_PandaOmron_Env	100002	1300001	0	0			5		1	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	"[""layer"",""denoise_step"",""model_token"",""feature_dim""]"	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_grid_v4_jitter	grid_coord	meta	meta_json	46ea62d53e09/kanu/OpenDrawer/left/s103/n1/base	103	3
46ea62d53e09	kanu	OpenDrawer/left	1	2	base	activation	7c84465e32b53172	7c84465e32b53172bcf87e353681849e6c86e9a1a87c93310e80974ee7e9994c	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Open the left drawer.	robocasa_panda_omron/OpenDrawer_PandaOmron_Env	100002	1300002	0	0			5		1	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	"[""layer"",""denoise_step"",""model_token"",""feature_dim""]"	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_grid_v4_jitter	grid_coord	meta	meta_json	46ea62d53e09/kanu/OpenDrawer/left/s103/n2/base	103	3
46ea62d53e09	kanu	OpenDrawer/left	1	3	base	activation	8134b8546d0017e4	8134b8546d0017e490952f16c207f455f75a3cc4f8b52c8ad00fcebc60653a6e	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Open the left drawer.	robocasa_panda_omron/OpenDrawer_PandaOmron_Env	100002	1300003	0	0			5		1	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	"[""layer"",""denoise_step"",""model_token"",""feature_dim""]"	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_grid_v4_jitter	grid_coord	meta	meta_json	46ea62d53e09/kanu/OpenDrawer/left/s103/n3/base	103	3
46ea62d53e09	kanu	OpenDrawer/left	1	4	base	activation	11ae631a660153f3	11ae631a660153f30ab7ebd83a4ddb676c849012111bc919e65f9d112fe261bf	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Open the left drawer.	robocasa_panda_omron/OpenDrawer_PandaOmron_Env	100002	1300004	0	0			5		1	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	"[""layer"",""denoise_step"",""model_token"",""feature_dim""]"	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_grid_v4_jitter	grid_coord	meta	meta_json	46ea62d53e09/kanu/OpenDrawer/left/s103/n4/base	103	3
46ea62d53e09	kanu	OpenDrawer/left	1	0	base	activation	b694368c538605cc	b694368c538605cc03200c0dceb252f0a5de258a07f5fa2bd5dacb6775d178f8	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Open the left drawer.	robocasa_panda_omron/OpenDrawer_PandaOmron_Env	100002	1300000	0	0			5		1	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	"[""layer"",""denoise_step"",""model_token"",""feature_dim""]"	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_grid_v4_jitter	grid_coord	meta	meta_json	46ea62d53e09/kanu/OpenDrawer/left/s105/n0/base	105	5
46ea62d53e09	kanu	OpenDrawer/left	1	1	base	activation	c6445ccb1fe2d977	c6445ccb1fe2d9778b9283c406bbe22ad61fc1326265cd764da7afe63bf8d39f	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Open the left drawer.	robocasa_panda_omron/OpenDrawer_PandaOmron_Env	100002	1300001	0	0			5		1	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	"[""layer"",""denoise_step"",""model_token"",""feature_dim""]"	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_grid_v4_jitter	grid_coord	meta	meta_json	46ea62d53e09/kanu/OpenDrawer/left/s105/n1/base	105	5
46ea62d53e09	kanu	OpenDrawer/left	1	2	base	activation	c9ab3ff2cc870ca0	c9ab3ff2cc870ca022e071308474662be85cc5cdd76b40439aa996317e2cec09	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Open the left drawer.	robocasa_panda_omron/OpenDrawer_PandaOmron_Env	100002	1300002	0	0			5		1	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	"[""layer"",""denoise_step"",""model_token"",""feature_dim""]"	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_grid_v4_jitter	grid_coord	meta	meta_json	46ea62d53e09/kanu/OpenDrawer/left/s105/n2/base	105	5
46ea62d53e09	kanu	OpenDrawer/left	1	3	base	activation	d0c95ce47fc4b5c6	d0c95ce47fc4b5c68ce4d147969d695df3f3e6d176b6883d031a6cc33daf24c7	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Open the left drawer.	robocasa_panda_omron/OpenDrawer_PandaOmron_Env	100002	1300003	0	0			5		1	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	"[""layer"",""denoise_step"",""model_token"",""feature_dim""]"	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_grid_v4_jitter	grid_coord	meta	meta_json	46ea62d53e09/kanu/OpenDrawer/left/s105/n3/base	105	5
46ea62d53e09	kanu	OpenDrawer/left	1	4	base	activation	69d9c40a805a48ff	69d9c40a805a48ffbedde01dced09347670555b0fa81dcef21c42e3e1a50518b	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Open the left drawer.	robocasa_panda_omron/OpenDrawer_PandaOmron_Env	100002	1300004	0	0			5		1	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	"[""layer"",""denoise_step"",""model_token"",""feature_dim""]"	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_grid_v4_jitter	grid_coord	meta	meta_json	46ea62d53e09/kanu/OpenDrawer/left/s105/n4/base	105	5
