plan_id	machine	grid_instruction	scene_idx	noise_idx	armsig	kind	sig	pkl_sha256	model	version	ckpt	task	task_id	instruction	env_name	env_seed	inference_seed	episode_idx	success	steps	n_inferences	n_action_steps	chunk_len	has_pkl	capture_token_mode	feature_kind	feature_axes	record_shape	capture_layers	plan_name	machine_source	ckpt_source	meta_source	rel_path
3134e339de4c	kanu	OpenDrawer/left	10	0	base	activation	8905b456fb872ca4	8905b456fb872ca4dadbb8441bacf958591e9d1a9987bff73c35e18134ff8895	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Open the left drawer.	robocasa_panda_omron/OpenDrawer_PandaOmron_Env	100742	1300000	0	1			5		1	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	["layer","denoise_step","model_token","feature_dim"]	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_grid_v2	grid_coord	meta	meta_json	3134e339de4c/kanu/OpenDrawer/left/s10/n0/base
3134e339de4c	kanu	OpenDrawer/left	10	1	base	activation	b41e092002631b5b	b41e092002631b5b972662a15a7cc81369e1a264577a9d8e67eab8b957c70cec	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Open the left drawer.	robocasa_panda_omron/OpenDrawer_PandaOmron_Env	100742	1300001	0	0			5		1	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	["layer","denoise_step","model_token","feature_dim"]	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_grid_v2	grid_coord	meta	meta_json	3134e339de4c/kanu/OpenDrawer/left/s10/n1/base
3134e339de4c	kanu	OpenDrawer/left	10	10	base	activation	349f8adb337db9e6	349f8adb337db9e651494e5c3ec2e4a7b12a74ae9eb00eb308ca90888382c271	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Open the left drawer.	robocasa_panda_omron/OpenDrawer_PandaOmron_Env	100742	1300010	0	1			5		1	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	["layer","denoise_step","model_token","feature_dim"]	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_grid_v2	grid_coord	meta	meta_json	3134e339de4c/kanu/OpenDrawer/left/s10/n10/base
3134e339de4c	kanu	OpenDrawer/left	10	11	base	activation	b91d469a7d169c26	b91d469a7d169c260fc007d50a6f5baf4375dad8931a7eb53b3863b954e3b2cf	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Open the left drawer.	robocasa_panda_omron/OpenDrawer_PandaOmron_Env	100742	1300011	0	1			5		1	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	["layer","denoise_step","model_token","feature_dim"]	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_grid_v2	grid_coord	meta	meta_json	3134e339de4c/kanu/OpenDrawer/left/s10/n11/base
3134e339de4c	kanu	OpenDrawer/left	10	12	base	activation	35bd953a3f18ea49	35bd953a3f18ea49103824c3d0a42f61b47f87abe99ed8592c69e0260c5c7be4	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Open the left drawer.	robocasa_panda_omron/OpenDrawer_PandaOmron_Env	100742	1300012	0	1			5		1	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	["layer","denoise_step","model_token","feature_dim"]	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_grid_v2	grid_coord	meta	meta_json	3134e339de4c/kanu/OpenDrawer/left/s10/n12/base
3134e339de4c	kanu	OpenDrawer/left	10	13	base	activation	4aab898afed1adda	4aab898afed1addac116e2a16341d88ea66b813908ae00265a1d7119e61475b9	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Open the left drawer.	robocasa_panda_omron/OpenDrawer_PandaOmron_Env	100742	1300013	0	1			5		1	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	["layer","denoise_step","model_token","feature_dim"]	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_grid_v2	grid_coord	meta	meta_json	3134e339de4c/kanu/OpenDrawer/left/s10/n13/base
3134e339de4c	kanu	OpenDrawer/left	10	14	base	activation	b5ad38a6951225f9	b5ad38a6951225f9515db39b3f5ec8eaad68900abf691d20868a42919c257ee3	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Open the left drawer.	robocasa_panda_omron/OpenDrawer_PandaOmron_Env	100742	1300014	0	1			5		1	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	["layer","denoise_step","model_token","feature_dim"]	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_grid_v2	grid_coord	meta	meta_json	3134e339de4c/kanu/OpenDrawer/left/s10/n14/base
3134e339de4c	kanu	OpenDrawer/left	10	2	base	activation	a2261c6a0794d47f	a2261c6a0794d47fb19ea76685171345a7ecd769cff7171c61012d91858d0896	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Open the left drawer.	robocasa_panda_omron/OpenDrawer_PandaOmron_Env	100742	1300002	0	1			5		1	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	["layer","denoise_step","model_token","feature_dim"]	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_grid_v2	grid_coord	meta	meta_json	3134e339de4c/kanu/OpenDrawer/left/s10/n2/base
3134e339de4c	kanu	OpenDrawer/left	10	3	base	activation	e24a5bf4a47305bd	e24a5bf4a47305bd4b9c5ba40b764a3bc19fe90f2cf647d08c2fb512b0cf7eb4	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Open the left drawer.	robocasa_panda_omron/OpenDrawer_PandaOmron_Env	100742	1300003	0	1			5		1	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	["layer","denoise_step","model_token","feature_dim"]	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_grid_v2	grid_coord	meta	meta_json	3134e339de4c/kanu/OpenDrawer/left/s10/n3/base
3134e339de4c	kanu	OpenDrawer/left	10	4	base	activation	d01f5abd0654590f	d01f5abd0654590f32b06503a725459baf51a513b0e0e38d04a9b7cc58857bc7	lerobot_groot_n15	n15	lerobot_groot_n15__robocasa365_ckpt120000		0	Open the left drawer.	robocasa_panda_omron/OpenDrawer_PandaOmron_Env	100742	1300004	0	1			5		1	all_token_full	groot_n15_dit_block_residual_full_tokens_denoise	["layer","denoise_step","model_token","feature_dim"]	[7,4,49,1536]	[0,2,4,8,10,12,15]	n15_grid_v2	grid_coord	meta	meta_json	3134e339de4c/kanu/OpenDrawer/left/s10/n4/base
