model	cell	layer	phase	var_z	var_gain	mean_z	mean_auroc	kl_z	kl_mean_z	kl_cov_z	kl_total	kl_mean_term	kl_cov_term	mean_frac	k	quota	n_rec_s	n_rec_f	n_eps_s	n_eps_f	dwell_cap	alpha	skip_reason
n15	pq3_ppcc_bread	12	grasp	-0.48912	0.106377	0.6416	0.743198	0.815717	0.710778	0.804696	5.2953	1.92949	3.36581	0.364378	12	0.0166372	352	175	23	7	25	1	
n15	pq3_ppcc_bread	12	insert-settle														224	0	23	0	13		quota 미달 (rec 224/0, eps 23/0)
n15	pq3_ppcc_bread	12	place	-0.254228	0.168562	2.65044	0.873404	0.2429	0.611497	-0.340375	3.54852	2.18733	1.36119	0.616406	5	0.119705	258	68	18	5	21	1	
n15	pq3_ppcc_bread	12	reach-to-object	-1.92504	0.114317	-0.637615	0.798459				10.2223	7.24744	2.97487	0.708982	4	0.00852107	137	54	23	7	8	1	
n15	pq3_ppcc_bread	12	transport														2	0	2	0	1		quota 미달 (rec 2/0, eps 2/0)
n15	pq3_ppcc_bread	15	__global__	0.395537	0.0505928	2.01414	0.628938	1.46569	1.77939	1.01274	23.9273	9.24339	14.6839	0.386312	32	0.138462	991	350	23	7	50	0.03	
n15	pq3_ppcc_bread	15	grasp	1.02701	0.0588502	0.695635	0.630162	0.12895	0.256037	-0.0110346	7.08535	3.21873	3.86662	0.45428	12	0.012548	352	175	23	7	25	0.1	
n15	pq3_ppcc_bread	15	insert-settle														224	0	23	0	13		quota 미달 (rec 224/0, eps 23/0)
n15	pq3_ppcc_bread	15	place	-1.19571	0.0570933	1.64735	0.717966	3.08981	4.42908	0.653942	19.7954	16.4136	3.38185	0.82916	9	0.12018	258	68	18	5	21	0.3	
n15	pq3_ppcc_bread	15	reach-to-object	-0.989148	0.0422111	1.24723	0.740606				1.35577	0.881676	0.474099	0.650311	4	0.00722662	137	54	23	7	8	0.1	
n15	pq3_ppcc_bread	15	transport														2	0	2	0	1		quota 미달 (rec 2/0, eps 2/0)
