instruction	slug	machine	scene_idx	jitter_idx	noise_idx	success	fail
OpenDrawer/left	OpenDrawer_left	kanu	0	1	0	9	1
OpenDrawer/left	OpenDrawer_left	kanu	1	3	0	4	6
OpenDrawer/left	OpenDrawer_left	kanu	2	4	0	8	2
PPCC/candle	PPCC_candle	worker2	0	0	0	8	2
PPCC/candle	PPCC_candle	worker2	1	1	0	9	1
PPCC/candle	PPCC_candle	worker2	2	2	0	7	3
